state,fips,cases,deaths,new_cases,new_deaths
Oregon,41001.0,77.0,2.0,2.0,0.0
Oregon,41001.0,77.0,2.0,0.0,0.0
Oregon,41001.0,77.0,2.0,0.0,0.0
Oregon,41001.0,77.0,2.0,0.0,0.0
Oregon,41001.0,86.0,2.0,9.0,0.0
Oregon,41001.0,86.0,2.0,0.0,0.0
Oregon,41001.0,86.0,2.0,0.0,0.0
Oregon,41001.0,86.0,2.0,0.0,0.0
Oregon,41001.0,88.0,2.0,2.0,0.0
Oregon,41001.0,90.0,2.0,2.0,0.0
Oregon,41001.0,90.0,2.0,0.0,0.0
Oregon,41001.0,90.0,2.0,0.0,0.0
Oregon,41001.0,90.0,2.0,0.0,0.0
Oregon,41001.0,89.0,2.0,-1.0,0.0
Oregon,41001.0,89.0,2.0,0.0,0.0
Oregon,41001.0,90.0,2.0,1.0,0.0
Oregon,41001.0,90.0,2.0,0.0,0.0
Oregon,41001.0,90.0,2.0,0.0,0.0
Oregon,41001.0,90.0,2.0,0.0,0.0
Oregon,41001.0,90.0,2.0,0.0,0.0
Oregon,41001.0,91.0,2.0,1.0,0.0
Oregon,41001.0,92.0,2.0,1.0,0.0
Oregon,41001.0,92.0,2.0,0.0,0.0
Oregon,41001.0,94.0,2.0,2.0,0.0
Oregon,41001.0,94.0,2.0,0.0,0.0
Oregon,41001.0,94.0,2.0,0.0,0.0
Oregon,41001.0,95.0,2.0,1.0,0.0
Oregon,41001.0,98.0,2.0,3.0,0.0
Oregon,41001.0,99.0,2.0,1.0,0.0
Oregon,41001.0,100.0,2.0,1.0,0.0
Oregon,41001.0,101.0,2.0,1.0,0.0
Oregon,41001.0,101.0,2.0,0.0,0.0
Oregon,41001.0,101.0,2.0,0.0,0.0
Oregon,41001.0,102.0,2.0,1.0,0.0
Oregon,41001.0,105.0,2.0,3.0,0.0
Oregon,41001.0,106.0,2.0,1.0,0.0
Oregon,41001.0,107.0,2.0,1.0,0.0
Oregon,41001.0,111.0,2.0,4.0,0.0
Oregon,41001.0,111.0,2.0,0.0,0.0
Oregon,41001.0,111.0,2.0,0.0,0.0
Oregon,41001.0,111.0,2.0,0.0,0.0
Oregon,41001.0,111.0,2.0,0.0,0.0
Oregon,41001.0,111.0,2.0,0.0,0.0
Oregon,41001.0,111.0,2.0,0.0,0.0
Oregon,41001.0,112.0,2.0,1.0,0.0
Oregon,41001.0,112.0,2.0,0.0,0.0
Oregon,41001.0,112.0,2.0,0.0,0.0
Oregon,41001.0,112.0,2.0,0.0,0.0
Oregon,41001.0,113.0,2.0,1.0,0.0
Oregon,41001.0,113.0,3.0,0.0,1.0
Oregon,41001.0,114.0,3.0,1.0,0.0
Oregon,41001.0,114.0,3.0,0.0,0.0
Oregon,41001.0,120.0,3.0,6.0,0.0
Oregon,41001.0,120.0,3.0,0.0,0.0
Oregon,41001.0,125.0,3.0,5.0,0.0
Oregon,41001.0,133.0,3.0,8.0,0.0
Oregon,41001.0,140.0,3.0,7.0,0.0
Oregon,41001.0,143.0,3.0,3.0,0.0
Oregon,41001.0,144.0,3.0,1.0,0.0
Oregon,41001.0,144.0,3.0,0.0,0.0
Oregon,41001.0,144.0,3.0,0.0,0.0
Oregon,41001.0,152.0,3.0,8.0,0.0
Oregon,41001.0,159.0,3.0,7.0,0.0
Oregon,41001.0,172.0,3.0,13.0,0.0
Oregon,41001.0,176.0,3.0,4.0,0.0
Oregon,41001.0,181.0,3.0,5.0,0.0
Oregon,41001.0,181.0,3.0,0.0,0.0
Oregon,41001.0,182.0,3.0,1.0,0.0
Oregon,41001.0,189.0,3.0,7.0,0.0
Oregon,41001.0,197.0,3.0,8.0,0.0
Oregon,41001.0,198.0,3.0,1.0,0.0
Oregon,41001.0,204.0,3.0,6.0,0.0
Oregon,41001.0,215.0,3.0,11.0,0.0
Oregon,41001.0,215.0,3.0,0.0,0.0
Oregon,41001.0,223.0,3.0,8.0,0.0
Oregon,41001.0,227.0,3.0,4.0,0.0
Oregon,41001.0,236.0,3.0,9.0,0.0
Oregon,41001.0,240.0,3.0,4.0,0.0
Oregon,41001.0,248.0,3.0,8.0,0.0
Oregon,41001.0,257.0,3.0,9.0,0.0
Oregon,41001.0,257.0,3.0,0.0,0.0
Oregon,41001.0,259.0,3.0,2.0,0.0
Oregon,41001.0,266.0,3.0,7.0,0.0
Oregon,41001.0,270.0,3.0,4.0,0.0
Oregon,41001.0,272.0,3.0,2.0,0.0
Oregon,41001.0,272.0,3.0,0.0,0.0
Oregon,41001.0,278.0,3.0,6.0,0.0
Oregon,41001.0,281.0,3.0,3.0,0.0
Oregon,41001.0,283.0,3.0,2.0,0.0
Oregon,41001.0,286.0,4.0,3.0,1.0
Oregon,41001.0,291.0,4.0,5.0,0.0
Oregon,41001.0,301.0,4.0,10.0,0.0
Oregon,41001.0,316.0,4.0,15.0,0.0
Oregon,41001.0,325.0,4.0,9.0,0.0
Oregon,41001.0,326.0,4.0,1.0,0.0
Oregon,41001.0,331.0,4.0,5.0,0.0
Oregon,41001.0,336.0,4.0,5.0,0.0
Oregon,41001.0,339.0,4.0,3.0,0.0
Oregon,41001.0,350.0,4.0,11.0,0.0
Oregon,41001.0,356.0,4.0,6.0,0.0
Oregon,41001.0,358.0,4.0,2.0,0.0
Oregon,41001.0,362.0,4.0,4.0,0.0
Oregon,41001.0,363.0,4.0,1.0,0.0
Oregon,41001.0,369.0,4.0,6.0,0.0
Oregon,41001.0,376.0,4.0,7.0,0.0
Oregon,41001.0,378.0,4.0,2.0,0.0
Oregon,41001.0,385.0,4.0,7.0,0.0
Oregon,41001.0,394.0,4.0,9.0,0.0
Oregon,41001.0,398.0,4.0,4.0,0.0
Oregon,41001.0,399.0,4.0,1.0,0.0
Oregon,41001.0,409.0,4.0,10.0,0.0
Oregon,41001.0,414.0,5.0,5.0,1.0
Oregon,41001.0,422.0,5.0,8.0,0.0
Oregon,41001.0,424.0,5.0,2.0,0.0
Oregon,41001.0,431.0,5.0,7.0,0.0
Oregon,41001.0,430.0,5.0,-1.0,0.0
Oregon,41001.0,431.0,5.0,1.0,0.0
Oregon,41001.0,456.0,5.0,25.0,0.0
Oregon,41001.0,460.0,5.0,4.0,0.0
Oregon,41001.0,472.0,5.0,12.0,0.0
Oregon,41001.0,483.0,5.0,11.0,0.0
Oregon,41001.0,485.0,5.0,2.0,0.0
Oregon,41001.0,488.0,5.0,3.0,0.0
Oregon,41001.0,488.0,5.0,0.0,0.0
Oregon,41001.0,491.0,5.0,3.0,0.0
Oregon,41001.0,502.0,5.0,11.0,0.0
Oregon,41001.0,504.0,5.0,2.0,0.0
Oregon,41001.0,508.0,5.0,4.0,0.0
Oregon,41001.0,512.0,5.0,4.0,0.0
Oregon,41001.0,517.0,5.0,5.0,0.0
Oregon,41001.0,518.0,5.0,1.0,0.0
Oregon,41001.0,526.0,5.0,8.0,0.0
Oregon,41001.0,542.0,5.0,16.0,0.0
Oregon,41001.0,549.0,5.0,7.0,0.0
Oregon,41001.0,551.0,5.0,2.0,0.0
Oregon,41001.0,566.0,5.0,15.0,0.0
Oregon,41001.0,568.0,5.0,2.0,0.0
Oregon,41001.0,568.0,5.0,0.0,0.0
Oregon,41001.0,573.0,5.0,5.0,0.0
Oregon,41001.0,576.0,5.0,3.0,0.0
Oregon,41001.0,580.0,5.0,4.0,0.0
Oregon,41001.0,581.0,5.0,1.0,0.0
Oregon,41001.0,582.0,5.0,1.0,0.0
Oregon,41001.0,582.0,5.0,0.0,0.0
Oregon,41001.0,583.0,5.0,1.0,0.0
Oregon,41001.0,583.0,5.0,0.0,0.0
